0.034692,-0.519581
0.900830,-0.502895
1.778887,-0.492619
2.664605,-0.481732
3.556805,-0.483260
4.448247,-0.490182
5.336280,-0.500121
6.212558,-0.517532
0.017826,-1.392215
0.887910,-1.381792
1.768008,-1.370288
2.657775,-1.362069
3.556113,-1.362675
4.452397,-1.367702
5.344382,-1.376003
6.224260,-1.389533
0.007514,-2.272367
0.878266,-2.264943
1.762705,-2.259453
2.655506,-2.256001
3.555788,-2.256925
4.456049,-2.260800
5.348906,-2.263660
6.231893,-2.272266
0.006138,-3.161999
0.874997,-3.160551
1.760845,-3.159769
2.655322,-3.156542
3.556754,-3.158319
4.458424,-3.157495
5.352465,-3.162165
6.237787,-3.162646
0.007317,-4.052592
0.879172,-4.054794
1.761018,-4.057094
2.657199,-4.058509
3.557777,-4.060106
4.457063,-4.058658
5.352043,-4.057693
6.236371,-4.056086
0.014803,-4.940545
0.883845,-4.948056
1.767002,-4.952892
2.660261,-4.955632
3.557645,-4.956294
4.454733,-4.955895
5.346247,-4.952577
6.228067,-4.943597
0.026394,-5.815422
0.891622,-5.830896
1.770198,-5.837704
2.660133,-5.844093
3.555096,-5.845400
4.448043,-5.842306
5.333873,-5.834635
6.212788,-5.823219
0.057199,-6.680694
0.917920,-6.698146
1.794185,-6.711984
2.677200,-6.716887
3.565745,-6.719278
4.452325,-6.713301
5.333818,-6.703266
6.207708,-6.685580
0.512245,-0.511913
1.388341,-0.498264
2.271154,-0.486243
3.163058,-0.484443
4.055610,-0.484801
4.946088,-0.492262
5.827439,-0.506315
6.696884,-0.528320
0.498700,-1.387210
1.374792,-1.374368
2.264347,-1.366726
3.160664,-1.364969
4.057560,-1.366240
4.951264,-1.371238
5.838089,-1.379897
6.711062,-1.396545
0.487672,-2.271885
1.368308,-2.265702
2.260100,-2.259764
3.160165,-2.256754
4.059789,-2.256824
4.957860,-2.261271
5.845782,-2.269227
6.720104,-2.275897
0.486065,-3.163572
1.366467,-3.158871
2.259484,-3.159590
3.159426,-3.157152
4.059195,-3.157389
4.960219,-3.159613
